volume,min,max,volumeQuote,close,open,timestamp
160.0,1.608,1.613,257.5800,1.613,1.608,2018-01-16T12:30:00.000Z
80.0,1.762,1.764,141.0400,1.764,1.762,2018-01-16T13:30:00.000Z
5.0,1.989,1.989,9.9450,1.989,1.989,2018-01-16T14:30:00.000Z
73.0,1.700,1.737,126.7599,1.737,1.737,2018-01-16T15:00:00.000Z
52.3,1.737,1.800,91.3001,1.800,1.737,2018-01-16T15:30:00.000Z
14.9,1.738,1.800,26.2062,1.738,1.800,2018-01-16T16:00:00.000Z
40.0,1.737,1.737,69.4800,1.737,1.737,2018-01-16T16:30:00.000Z
5.0,1.700,1.700,8.5000,1.700,1.700,2018-01-16T17:00:00.000Z
0.1,1.800,1.800,0.1800,1.800,1.800,2018-01-16T18:00:00.000Z
70.5,1.600,1.607,113.0032,1.600,1.607,2018-01-16T18:30:00.000Z
0.1,1.789,1.789,0.1789,1.789,1.789,2018-01-16T19:00:00.000Z
25.0,1.600,1.800,42.5000,1.600,1.800,2018-01-16T20:30:00.000Z
20.0,1.600,1.600,32.0000,1.600,1.600,2018-01-16T21:00:00.000Z
68.0,1.580,1.600,108.6740,1.580,1.600,2018-01-16T21:30:00.000Z
32.3,1.308,1.501,46.3513,1.308,1.501,2018-01-16T22:00:00.000Z
350.2,1.311,1.510,479.4526,1.313,1.312,2018-01-16T22:30:00.000Z
10.0,1.510,1.510,15.1000,1.510,1.510,2018-01-16T23:00:00.000Z
10.0,1.322,1.322,13.2200,1.322,1.322,2018-01-16T23:30:00.000Z
0.1,1.799,1.799,0.1799,1.799,1.799,2018-01-17T00:00:00.000Z
0.5,1.799,1.799,0.8995,1.799,1.799,2018-01-17T00:30:00.000Z
90.0,1.401,1.401,126.0900,1.401,1.401,2018-01-17T02:00:00.000Z
0.1,1.799,1.799,0.1799,1.799,1.799,2018-01-17T02:30:00.000Z
10.0,1.400,1.799,15.9950,1.400,1.799,2018-01-17T03:00:00.000Z
100.0,1.400,1.400,140.0000,1.400,1.400,2018-01-17T05:00:00.000Z
138.4,1.310,1.314,181.4995,1.314,1.311,2018-01-17T06:00:00.000Z
26.8,1.655,1.659,44.4252,1.655,1.659,2018-01-17T06:30:00.000Z
42.0,1.304,1.308,54.8560,1.304,1.308,2018-01-17T08:00:00.000Z
91.2,1.200,1.270,113.9440,1.200,1.270,2018-01-17T09:00:00.000Z
20.0,1.148,1.148,22.9600,1.148,1.148,2018-01-17T09:30:00.000Z
42.3,1.180,1.180,49.9140,1.180,1.180,2018-01-17T10:30:00.000Z
90.0,1.284,1.291,115.7399,1.291,1.284,2018-01-17T11:30:00.000Z
229.4,1.011,1.700,285.6976,1.249,1.291,2018-01-17T12:00:00.000Z
