volume,min,max,volumeQuote,close,open,timestamp
3382.500,0.086249,0.088578,295.278568856,0.087899,0.087319,2018-01-17T17:30:00.000Z
2308.875,0.086856,0.088070,202.024301747,0.087231,0.087688,2018-01-17T18:00:00.000Z
2029.366,0.086796,0.087996,177.494489233,0.086890,0.087361,2018-01-17T18:30:00.000Z
2073.767,0.086422,0.087897,180.847952629,0.087212,0.086802,2018-01-17T19:00:00.000Z
2269.072,0.086969,0.088651,198.908955199,0.088271,0.087126,2018-01-17T19:30:00.000Z
2267.096,0.087816,0.090231,202.068029135,0.089607,0.088271,2018-01-17T20:00:00.000Z
1604.208,0.089210,0.090488,143.978547047,0.090302,0.089607,2018-01-17T20:30:00.000Z
2686.347,0.089748,0.091859,244.406043358,0.090956,0.090304,2018-01-17T21:00:00.000Z
2712.425,0.090799,0.092000,247.775772385,0.091656,0.091066,2018-01-17T21:30:00.000Z
2571.928,0.090575,0.092991,236.442831303,0.091294,0.091666,2018-01-17T22:00:00.000Z
3333.761,0.089583,0.091385,301.618866531,0.090139,0.091294,2018-01-17T22:30:00.000Z
2712.827,0.088797,0.090977,243.892101120,0.090444,0.090024,2018-01-17T23:00:00.000Z
2024.938,0.090032,0.091891,184.435546622,0.091642,0.090447,2018-01-17T23:30:00.000Z
1355.427,0.090010,0.091993,123.391419782,0.090179,0.091508,2018-01-18T00:00:00.000Z
1131.777,0.089621,0.090825,102.330750389,0.090264,0.090164,2018-01-18T00:30:00.000Z
1711.198,0.090201,0.091634,155.649707918,0.090996,0.090278,2018-01-18T01:00:00.000Z
1041.291,0.090610,0.091470,94.907083014,0.091236,0.091012,2018-01-18T01:30:00.000Z
1102.438,0.091016,0.091629,100.735397336,0.091276,0.091244,2018-01-18T02:00:00.000Z
1454.688,0.090201,0.091275,131.861153654,0.090829,0.091275,2018-01-18T02:30:00.000Z
1133.659,0.090280,0.091174,102.816821583,0.090539,0.090839,2018-01-18T03:00:00.000Z
1372.325,0.089084,0.090662,123.067924938,0.089515,0.090662,2018-01-18T03:30:00.000Z
1946.415,0.089374,0.090541,175.048619332,0.089603,0.089538,2018-01-18T04:00:00.000Z
2127.462,0.088683,0.089603,189.541671644,0.088809,0.089595,2018-01-18T04:30:00.000Z
2113.679,0.088240,0.089537,187.574507107,0.089245,0.088810,2018-01-18T05:00:00.000Z
2729.436,0.088556,0.090131,243.917294654,0.089900,0.089224,2018-01-18T05:30:00.000Z
1583.219,0.089301,0.090222,142.360735444,0.089974,0.089888,2018-01-18T06:00:00.000Z
1474.661,0.089297,0.090325,132.305638919,0.089913,0.089974,2018-01-18T06:30:00.000Z
1034.311,0.089719,0.090457,93.093271303,0.089954,0.089945,2018-01-18T07:00:00.000Z
1932.645,0.088556,0.090055,172.656436791,0.089138,0.089955,2018-01-18T07:30:00.000Z
1604.248,0.089062,0.089979,143.612822195,0.089771,0.089069,2018-01-18T08:00:00.000Z
1151.323,0.089412,0.090414,103.636058071,0.089983,0.089718,2018-01-18T08:30:00.000Z
1422.337,0.089312,0.090275,127.790527424,0.089525,0.089985,2018-01-18T09:00:00.000Z
2184.751,0.089001,0.089932,195.422674073,0.089351,0.089475,2018-01-18T09:30:00.000Z
1585.215,0.088749,0.089648,141.385625329,0.089012,0.089340,2018-01-18T10:00:00.000Z
806.089,0.088756,0.089484,71.789210551,0.089219,0.089144,2018-01-18T10:30:00.000Z
1050.418,0.088936,0.089748,93.905823201,0.089663,0.089339,2018-01-18T11:00:00.000Z
904.299,0.089295,0.089874,81.013509248,0.089305,0.089664,2018-01-18T11:30:00.000Z
1433.939,0.088751,0.090240,128.375050730,0.090119,0.089341,2018-01-18T12:00:00.000Z
1554.867,0.089259,0.090445,139.855121512,0.089316,0.090115,2018-01-18T12:30:00.000Z
1692.638,0.089060,0.090083,151.585823881,0.089745,0.089316,2018-01-18T13:00:00.000Z
1374.348,0.089627,0.090600,123.613340334,0.090580,0.089713,2018-01-18T13:30:00.000Z
1056.430,0.090078,0.090600,95.477485089,0.090336,0.090581,2018-01-18T14:00:00.000Z
1217.308,0.089934,0.090865,110.115502945,0.090735,0.090336,2018-01-18T14:30:00.000Z
2026.519,0.090387,0.091492,184.337644180,0.091007,0.090850,2018-01-18T15:00:00.000Z
1285.760,0.090668,0.091622,117.020907926,0.091410,0.091034,2018-01-18T15:30:00.000Z
678.583,0.091411,0.091922,62.222093661,0.091726,0.091411,2018-01-18T16:00:00.000Z
672.782,0.091570,0.092111,61.741782161,0.091601,0.091799,2018-01-18T16:30:00.000Z
606.875,0.091196,0.091685,55.470940757,0.091218,0.091602,2018-01-18T17:00:00.000Z
1001.967,0.090504,0.091304,91.031373489,0.090707,0.091203,2018-01-18T17:30:00.000Z
1426.971,0.090215,0.091037,129.282382336,0.090408,0.090728,2018-01-18T18:00:00.000Z
1454.746,0.090338,0.090885,131.786682938,0.090610,0.090408,2018-01-18T18:30:00.000Z
1486.479,0.090390,0.091380,135.186908172,0.091161,0.090674,2018-01-18T19:00:00.000Z
1902.999,0.090342,0.091442,173.101306250,0.091064,0.091229,2018-01-18T19:30:00.000Z
1418.624,0.091086,0.091762,129.716106268,0.091606,0.091099,2018-01-18T20:00:00.000Z
1292.433,0.091395,0.091882,118.377614097,0.091751,0.091588,2018-01-18T20:30:00.000Z
1055.878,0.091208,0.091883,96.663183871,0.091293,0.091779,2018-01-18T21:00:00.000Z
2453.573,0.091000,0.091982,224.524549056,0.091057,0.091395,2018-01-18T21:30:00.000Z
2678.643,0.090121,0.091273,242.766497600,0.090547,0.091047,2018-01-18T22:00:00.000Z
2286.386,0.089868,0.090974,206.458031776,0.090462,0.090545,2018-01-18T22:30:00.000Z
1934.654,0.089537,0.090459,174.042358308,0.089971,0.090243,2018-01-18T23:00:00.000Z
1905.391,0.089859,0.090751,172.035178742,0.090081,0.090026,2018-01-18T23:30:00.000Z
1067.079,0.089855,0.090768,96.358322093,0.090699,0.089981,2018-01-19T00:00:00.000Z
638.439,0.090508,0.091108,58.008775527,0.091104,0.090628,2018-01-19T00:30:00.000Z
559.630,0.090902,0.091233,50.960454482,0.090998,0.091105,2018-01-19T01:00:00.000Z
890.902,0.090927,0.091516,81.249965541,0.091342,0.091000,2018-01-19T01:30:00.000Z
2027.714,0.090442,0.091390,184.395702750,0.090828,0.091342,2018-01-19T02:00:00.000Z
2980.582,0.090164,0.091414,270.575615355,0.090552,0.090862,2018-01-19T02:30:00.000Z
972.288,0.090106,0.090890,87.994056043,0.090114,0.090579,2018-01-19T03:00:00.000Z
1396.010,0.090062,0.090999,126.266824575,0.090493,0.090105,2018-01-19T03:30:00.000Z
1023.775,0.090240,0.090952,92.766482210,0.090653,0.090490,2018-01-19T04:00:00.000Z
1803.287,0.089703,0.090648,162.505541779,0.089952,0.090648,2018-01-19T04:30:00.000Z
2762.687,0.089455,0.090480,248.674252546,0.090480,0.089952,2018-01-19T05:00:00.000Z
1224.122,0.090175,0.090589,110.636422133,0.090253,0.090481,2018-01-19T05:30:00.000Z
1386.065,0.089709,0.090563,124.779822514,0.090028,0.090246,2018-01-19T06:00:00.000Z
712.032,0.089801,0.090295,64.111675976,0.089903,0.090028,2018-01-19T06:30:00.000Z
962.461,0.089773,0.090274,86.610208761,0.090055,0.089855,2018-01-19T07:00:00.000Z
490.398,0.090053,0.090551,44.287378968,0.090505,0.090053,2018-01-19T07:30:00.000Z
2463.172,0.089771,0.090996,222.147103082,0.090382,0.090474,2018-01-19T08:00:00.000Z
604.692,0.090397,0.090880,54.813028433,0.090639,0.090397,2018-01-19T08:30:00.000Z
805.212,0.090283,0.090878,72.924522162,0.090359,0.090641,2018-01-19T09:00:00.000Z
1127.304,0.090144,0.090701,101.931991427,0.090573,0.090349,2018-01-19T09:30:00.000Z
1613.216,0.089878,0.090635,145.561512567,0.090336,0.090528,2018-01-19T10:00:00.000Z
453.045,0.090309,0.090637,40.978462519,0.090541,0.090312,2018-01-19T10:30:00.000Z
992.600,0.090447,0.090981,90.125354499,0.090832,0.090514,2018-01-19T11:00:00.000Z
844.312,0.090788,0.090999,76.750228175,0.090872,0.090845,2018-01-19T11:30:00.000Z
1174.445,0.090659,0.090999,106.792537225,0.090936,0.090969,2018-01-19T12:00:00.000Z
1014.350,0.090795,0.090999,92.282027146,0.090999,0.090937,2018-01-19T12:30:00.000Z
1161.985,0.090810,0.091377,105.847574165,0.091370,0.090999,2018-01-19T13:00:00.000Z
2463.580,0.090996,0.091499,224.969023392,0.091386,0.091376,2018-01-19T13:30:00.000Z
2686.280,0.091131,0.091890,245.574377387,0.091530,0.091364,2018-01-19T14:00:00.000Z
2559.906,0.091081,0.091700,233.801852772,0.091380,0.091527,2018-01-19T14:30:00.000Z
1622.785,0.090627,0.091466,148.092398377,0.091436,0.091294,2018-01-19T15:00:00.000Z
1759.057,0.090495,0.091554,160.109831959,0.090728,0.091436,2018-01-19T15:30:00.000Z
1860.253,0.090013,0.090883,168.543235763,0.090666,0.090711,2018-01-19T16:00:00.000Z
848.635,0.090201,0.090668,76.720314233,0.090579,0.090668,2018-01-19T16:30:00.000Z
1304.820,0.090307,0.090691,118.080723478,0.090488,0.090630,2018-01-19T17:00:00.000Z
1357.316,0.090401,0.091204,123.355954494,0.091142,0.090604,2018-01-19T17:30:00.000Z
2059.091,0.090727,0.091359,187.432833320,0.091317,0.091142,2018-01-19T18:00:00.000Z
2059.228,0.090868,0.091602,187.845936365,0.091450,0.091333,2018-01-19T18:30:00.000Z
1877.326,0.090864,0.091498,171.224632012,0.091155,0.091438,2018-01-19T19:00:00.000Z
